ly-01-12	집안과 조정에서 예는 어떤 역할을 할까요? 『공자가어』에서는 예가 사람들 사이의 질서를 정해 준다고 설명하고, 길잡이에 빗대기도 합니다.	『공자가어』에서는 예가 집안과 조정에서 사람들 사이의 질서를 정해 준다고 설명하고, 길잡이에 빗대기도 합니다.	답이 바로 이어지는 수사적 질문 제거
ly-02-20	임금은 어떻게 해야 백성이 윗사람을 공경하고 잘하려고 힘쓰게 할 수 있을까요? 옛 주석들은 임금의 몸가짐과 인재 등용을 먼저 살피고, 어떤 마음으로 그 일을 해야 하는지까지 따집니다.	옛 주석들은 백성이 윗사람을 공경하고 잘하려고 힘쓰게 하는 방법으로 임금의 몸가짐과 인재 등용을 먼저 살피고, 어떤 마음으로 그 일을 해야 하는지까지 따집니다.	일반적 흥미 유도 질문을 직접 안내로 전환
ly-06-02	안회가 어떻게 배웠는지를 보여 주는 두 행동은 왜 중요할까요? 『논어집주대전』은 왜 화를 냈는지, 잘못을 알아차린 뒤에는 어떻게 행동했는지 풀이하고 평소의 공부와 어떤 관련이 있는지 설명합니다.	『논어집주대전』은 안회가 어떻게 배웠는지를 보여 주는 두 행동을 살핍니다. 왜 화를 냈는지, 잘못을 알아차린 뒤에는 어떻게 행동했는지 풀이하고 평소의 공부와 어떤 관련이 있는지 설명합니다.	수사적 질문을 자료 안내로 전환
ly-07-08	배우는 사람이 이해하려고 애쓰고, 말로 표현하고 싶어 애태울 때까지 왜 기다릴까요? 주석은 받아들일 준비가 되었을 때 가르치는 것과 너무 일찍 답을 주는 것이 어떻게 다른지 짚습니다.	주석은 배우는 사람이 스스로 이해하고 표현하려 애쓸 때까지 기다리는 까닭을 짚습니다. 받아들일 준비가 되었을 때 가르치는 것과 너무 일찍 답을 주는 것이 어떻게 다른지도 살핍니다.	답이 정해진 수사적 질문 제거
ly-08-06	충직하기만 한 사람에게 나라를 맡겨도 될까요? 어느 한쪽이 부족했던 역사 속 인물들을 들어, 능력과 절개가 각각 왜 필요한지 따져 봅니다.	어느 한쪽이 부족했던 역사 속 인물들을 들어, 나라를 맡길 사람에게 능력과 절개가 각각 왜 필요한지 따져 봅니다.	흥미 유도 질문을 본론에 통합
ly-10-05	온화하고 공손했다는 말이면 충분하지 않을까요? 향당편의 자세한 묘사가 필요한지 묻는 질문에, 신하는 일상의 행동도 가르침이 된다고 답합니다.	향당편의 자세한 묘사가 왜 필요한지 묻는 질문에, 신하는 온화하고 공손했다는 말만으로는 부족하며 일상의 행동도 가르침이 된다고 답합니다.	질문을 거듭 만드는 도입 구조 축소
ly-11-17	평소의 규칙을 위급할 때도 고집한다면 어떨까요? 주희의 말을 비롯한 주석들은 제자들의 성품이 어떻게 다른지 살피며, 민첩함과 성실함도 함께 살핍니다.	주희의 말을 비롯한 주석들은 평소의 규칙을 위급할 때도 고집하는 경우를 들어, 제자들의 성품과 민첩함·성실함이 어떻게 다른지 살핍니다.	가정형 수사 질문을 직접 서술로 전환
ly-12-23	벗을 돕는 충고는 어떻게 전하고 언제 그쳐야 할까요? 이 주석은 마음을 다하되 말을 잘 고르는 법과, 충고가 받아들여지지 않을 때 물러나야 한다는 말의 뜻을 풀이합니다.	이 주석은 벗을 돕는 충고에서 마음을 다하되 말을 잘 고르는 법과, 충고가 받아들여지지 않을 때 물러나야 한다는 말의 뜻을 풀이합니다.	질문과 바로 뒤 답의 중복 제거
ly-13-27	굳세고 질박한 성품을 왜 인에 가깝다고 했을까요? 주석자들은 타고난 바탕의 장점을 짚으면서도, 실제로 인을 구하려면 여전히 공부해야 한다고 강조합니다.	주석자들은 굳세고 질박한 성품이 인에 가까운 까닭을 타고난 바탕의 장점에서 찾습니다. 다만 실제로 인을 구하려면 여전히 공부해야 한다고 강조합니다.	수사적 질문을 해설 내용에 직접 연결
ly-14-31	사람의 장단점을 비교하는 일 자체가 잘못일까요? 주석가는 거기에만 매달리는 태도를 문제 삼고, 공자님이 자공에게 매섭게 말씀하지 않으면서도 어떻게 경계하셨는지 살핍니다.	주석가는 사람의 장단점을 비교하는 일 자체보다 거기에만 매달리는 태도를 문제 삼고, 공자님이 자공에게 매섭게 말씀하지 않으면서도 어떻게 경계하셨는지 살핍니다.	반문형 도입을 직접 판단으로 전환
ly-15-07	좋은 가르침이라도 상대가 받아들일 수 있는 정도를 넘으면 어떻게 될까요? 이 주석은 억지로 이끌 때 생기는 혼란과 의심을 들어, 사람을 가려 말하는 까닭을 짚습니다.	이 주석은 좋은 가르침도 상대가 받아들일 수 있는 정도를 넘으면 혼란과 의심을 낳을 수 있다고 보고, 사람을 가려 말하는 까닭을 짚습니다.	수사적 질문을 원인 설명으로 전환
ly-19-09	한 사람이 엄숙하면서 온화하고, 또 엄정할 수도 있을까요? 여러 주석은 일부러 태도를 바꾼 것이 아니라 가까이 대하고 말을 듣는 데서 드러나는 차이라고 봅니다.	여러 주석은 한 사람이 엄숙하면서도 온화하고 엄정할 수 있다고 봅니다. 일부러 태도를 바꾼 것이 아니라 가까이 대하고 말을 듣는 데서 드러나는 차이라고 설명합니다.	답이 바로 이어지는 수사적 질문 제거
